strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
EV-D68/Homosapiens/USA/SSENT03/2014,2014-09-13,,B1,USA,North America,5,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351798
USA/AL/2014-19241,2014-09-15,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995605
USA/CA/2014-RGDS-1025,2014-09-30 (2014-09-05 - 2014-09-30),,B1,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK681490
EV-D68/Homosapiens/USA/C7743/2014,2014-09-25,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255407
EV-D68/Homosapiens/USA/C7791/2014,2014-09-28,,B1,USA,North America,16,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433161
EVD68/Homosapiens/USA/MO38/2014,2014-07-06 (2014-05-09 - 2014-09-13),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347279
EVD68/Homosapiens/USA/MO39/2014,2014-07-18 (2014-05-17 - 2014-09-28),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347236
EVD68/Homosapiens/USA/MO58/2014,2014-09-09 (2014-07-17 - 2014-11-17),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347224
USA/MS/2014-19204,2014-09-11,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995570
EV-D68/Homosapiens/USA/SSENT26/2014,2014-09-19,,B1,USA,North America,9,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351826
EV-D68/Homosapiens/USA/SSENT04/2014,2014-09-14,,B1,USA,North America,8,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351828
EV-D68/Homosapiens/USA/SSENT14/2014,2014-09-17,,B1,USA,North America,1,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351829
EV-D68/Homosapiens/USA/SSENT19/2014,2014-09-17,,B1,USA,North America,4,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351810
CAN14-330,2014-07-11 (2014-05-06 - 2014-10-08),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455264
EVD68/Homosapiens/USA/MO11/2014,2014-11-23 (2014-09-01 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347260
EV-D68_STL_2014_12,2014-09-08 (2014-07-11 - 2014-12-05),,B1,USA,North America,,,,,,7/15/2019,,"Wylie,K.M., Wylie,T.N., Orvedahl,A., Buller,R.S., Herter,B.N., Magrini,V., Wilson,R.K. and Storch,G.A.",KM881710
EVD68/Homosapiens/USA/MO16/2014,2014-07-19 (2014-05-22 - 2014-09-19),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347249
US/MO/14-18947,2014-08-31 (2014-08-06 - 2014-08-31),,B1,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",KM851225
USA/NC/2014-19248,2014-09-24,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995613
EVD68/Homosapiens/USA/MO47/2014,2014-10-09 (2014-08-13 - 2014-12-17),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347251
EVD68/Homosapiens/USA/MO24/2014,2014-09-25 (2014-08-07 - 2014-11-14),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347253
EVD68/Homosapiens/USA/MO28/2014,2014-10-16 (2014-08-30 - 2014-12-15),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347263
EV68_Alberta17390_2014,2014-08-18,,B1,Canada,North America,,,,,,7/15/2019,,"Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.",KP114662
USA/AL/2014-19169,2014-08-29,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995535
CAN14-869,2014-10-19 (2014-08-24 - 2014-12-22),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455277
USA/MT/2014-19216,2014-09-06,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995550
EV-D68/Homosapiens/USA/C7722/2014,2014-08-14,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255364
EV-D68/Homosapiens/USA/C7723/2014,2014-08-16,,B1,USA,North America,14,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255373
USA/IL/2014-18956,2014-08-31 (2014-08-12 - 2014-08-31),,B1,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",MK268345
USA/TN/2014-19260,2014-09-27,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995625
EVD68/Homosapiens/USA/MO43/2014,2014-09-02 (2014-07-28 - 2014-10-19),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347274
USA/MD/2014-19235,2014-09-16,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995599
EVD68/Homosapiens/USA/MO9/2014,2014-11-30 (2014-10-12 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347259
EVD68/Homosapiens/USA/MO54/2014,2014-12-31 (2014-11-05 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347223
USA/ID/2014-19256,2014-09-25,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995621
USA/IL/2014-19199,2014-08-22,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995565
EVD68/Homosapiens/USA/MO22/2014,2014-09-12 (2014-07-13 - 2014-12-11),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347264
USA/CO/2014-19190,2014-09-05,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995541
USA/NE/2014-19206,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995572
EV-D68/Homosapiens/USA/C7745/2014,2014-09-26,,B1,USA,North America,15,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255389
USA/GA/2014-19246,2014-09-24,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995610
EV-D68/Homosapiens/USA/SSENT38/2014,2014-10-03,,B1,USA,North America,10,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351804
USA/CA/2014-RGDS-1026,2014-09-01 (2014-09-01 - 2014-09-26),,B1,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK681491
US/MO/14-18948,2014-08-31 (2014-08-13 - 2014-08-31),,B1,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",KM851226
EVD68/Homosapiens/USA/MO34/2014,2014-11-24 (2014-10-10 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347267
EVD68/Homosapiens/USA/MO59/2014,2014-09-06 (2014-08-02 - 2014-10-30),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347245
USA/TX/2014-19228,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995592
USA/VA/2014-19187,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995554
USA/FL/2014-19070,2014-09-07 (2014-07-17 - 2014-11-19),,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995611
EVD68/Homosapiens/USA/MO15/2014,2014-10-18 (2014-09-03 - 2014-12-17),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347228
EVD68/Homosapiens/USA/MO60/2014,2014-09-17 (2014-08-02 - 2014-10-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347261
NY126,2014-09-28,,B1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745753
USA/LA/2014-19168,2014-09-08,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995534
USA/MI/2014-19238,2014-09-06,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995602
USA/WI/2014-19222,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995586
CAN14-272,2014-12-31 (2014-10-27 - 2014-12-31),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455266
EV68/Ontario/C818710/2014,2014-09-15,,B1,Canada,North America,,,,,,7/15/2019,,"Eshaghi,A., Li,A., Banh,P., Patel,S.N. and Gubbay,J.B.",KT835407
CAN14-198,2014-09-15 (2014-08-25 - 2014-10-14),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455265
USA/CA/2014-RGDS-1032,2014-09-30 (2014-09-05 - 2014-09-30),,B1,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK681497
EV-D68/Homosapiens/USA/SSENT07/2014,2014-09-16,,B1,USA,North America,12,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351820
USA/TX/2014-19185,2014-08-04,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995552
EVD68/Homosapiens/USA/MO21/2014,2014-09-27 (2014-08-09 - 2014-12-03),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347276
USA/ND/2014-19252,2014-09-24,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995617
NY77,2014-09-28,,B1,USA,North America,5,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745770
NY210,2014-10-14,,B1,USA,North America,5,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745757
USA/CT/2014-19233,2014-09-15,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995597
EV-D68/Homosapiens/USA/SSENT24/2014,2014-09-18,,B1,USA,North America,4,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351830
EV-D68/Homosapiens/USA/SSENT37/2014,2014-09-28,,B1,USA,North America,3,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351801
NY120,2014-09-28,,B1,USA,North America,,,,,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745751
NY130,2014-09-30,,B1,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745754
EV-D68/Homosapiens/USA/SSENT21/2014,2014-09-19,,B1,USA,North America,38,18-64y,18-64y,>=18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351796
USA/NJ/2014-19250,2014-09-25,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995615
USA/NJ/2014-19262,2014-09-25,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995627
MEX/DGO/2014-InDRE2271,2014-10-16,,B1,Mexico,North America,,,,,,7/15/2019,,"Lopez-Martinez,I., Torres-Longoria,B., Barrera-Badillo,G., Ruiz-Lopez,A., Fierro-Valdez,M.A., Ortiz-Alcantara,J.M., Garces-Ayala,F., Gonzalez-Villa,M., Escobar-Escamilla,N., Ramirez-Gonzalez,J.E. and Diaz-Quinonez,J.A.",KT803995
USA/LA/2014-19220,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995584
EVD68/Homosapiens/USA/MO45/2014,2014-10-27 (2014-07-30 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347269
USA/CO/2014-19258,2014-09-13,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995623
NY263,2014-09-18,,B1,USA,North America,11,6-17y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745758
NY275,2014-09-19,,B1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745759
USA/KY/2014-19219,2014-09-13,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995583
CAN14-260,2014-12-08 (2014-09-07 - 2014-12-31),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455275
USA/MA/2014-19048,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995546
USA/RI/2014-19203,2014-08-28,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995569
EVD68_SWE_002_140908_NFLG,2014-09-08,,B1,Sweden,Europe,0,<1y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674115
EVD68_SWE_004_140916_NFLG,2014-09-16,,B1,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674116
EVD68_SWE_006_140814_NFLG,2014-08-14,,B1,Sweden,Europe,3,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674112
EVD68_SWE_005_140814_NFLG,2014-08-14,,B1,Sweden,Europe,1,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674111
USA/KY/2014-19236,2014-09-16,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995600
USA/CA/2014-RGDS-1037,2014-11-01 (2014-11-01 - 2014-11-27),,B1,USA,North America,,,,,,7/15/2019,,"Pan,C.-Y., Huynh,T., Padilla,T., Ng,T.F.F., Castro,C.J., Marine,R.L., Nix,W.A. and Wadford,D.A.",MK681502
USA/CO/2014-19244,2014-09-15,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995608
USA/MI/2014-19221,2014-09-12,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995585
USA/MI/2014-19266,2014-09-29,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KU669042
EVD68/Homosapiens/USA/MO7/2014,2014-11-08 (2014-09-09 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347271
USA/KY/2014-19209,2014-09-14,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995576
USA/GA/2014-19200,2014-09-09,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995566
EV-D68/Homosapiens/USA/SSENT01/2014,2014-09-14,,B1,USA,North America,6,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351827
USA/SC/2014-19215,2014-09-03,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995582
EVD68/Homosapiens/USA/MO13/2014,2014-06-08 (2014-04-02 - 2014-09-02),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347248
USA/NE/2014-19257,2014-09-11,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995622
CAN14-165,2014-08-25 (2014-06-05 - 2014-12-31),,B1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455273
USA/CO/2014-19175,2014-08-27,,B1,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995533
EVD68/Homosapiens/USA/MO36/2014,2014-11-29 (2014-09-07 - 2014-12-31),,B1,USA,North America,,,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.",KT347265
EVD68_SWE_001_140905_NFLG,2014-09-05,,B1,Sweden,Europe,9,6-17y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674113
